???????,tlv-????,????????? ???????
juniper-command test aaa ppp terminate-code bridging-max-sevice-disable,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-no-local-ieee802-tagged-frame-format,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-no-local-mac-frame-format,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-no-peer-ieee802-tagged-frame-format,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-no-peer-mac-fram-fromat,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-no-service,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-renegotiate-rx-conf-ack,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-renegotiate-rx-conf-nak,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-renegotiate-rx-conf-rej,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-renegotiate-rx-conf-req,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-stale-stacking,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-terminate-code-rej,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-terminate-term-ack,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bridging-terminate-term-req,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-create,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-engine-add,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-fragment-size-mismatch,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-fragmentation-location,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-fragmentation-mismatch,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-hash-link-selection-mismatch,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-join,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-local-mped-not-set-yet,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-local-mrru-mismatch,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-local-mru-mismatch,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-peer-endpoint-discriminator-mismatch,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code bundle-fail-peer-mrru-mismatch,libauthd_cmd-dd.so,False
